---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:35:23 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:36:03 (uptime: 0d, 00h 00m 48s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 76
capture.afpacket.polls                                       | Total                     | 5357
capture.afpacket.poll_timeout                                | Total                     | 5305
capture.afpacket.poll_data                                   | Total                     | 52
decoder.pkts                                                 | Total                     | 76
decoder.bytes                                                | Total                     | 12387
decoder.ipv4                                                 | Total                     | 15
decoder.ipv6                                                 | Total                     | 61
decoder.ethernet                                             | Total                     | 76
decoder.tcp                                                  | Total                     | 60
tcp.rst                                                      | Total                     | 3
decoder.udp                                                  | Total                     | 6
decoder.icmpv4                                               | Total                     | 8
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 162
decoder.max_pkt_size                                         | Total                     | 1149
flow.total                                                   | Total                     | 9
flow.active                                                  | Total                     | 9
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 2
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
detect.alert                                                 | Total                     | 4
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 1
app_layer.tx.dns_udp                                         | Total                     | 4
app_layer.tx.ntp                                             | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 5
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9400
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 7
flow.mgr.flows_notimeout                                     | Total                     | 7
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:36:11 (uptime: 0d, 00h 00m 56s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 78
capture.afpacket.polls                                       | Total                     | 6437
capture.afpacket.poll_timeout                                | Total                     | 6384
capture.afpacket.poll_data                                   | Total                     | 53
decoder.pkts                                                 | Total                     | 78
decoder.bytes                                                | Total                     | 12471
decoder.ipv4                                                 | Total                     | 15
decoder.ipv6                                                 | Total                     | 61
decoder.ethernet                                             | Total                     | 78
decoder.arp                                                  | Total                     | 2
decoder.tcp                                                  | Total                     | 60
tcp.rst                                                      | Total                     | 3
decoder.udp                                                  | Total                     | 6
decoder.icmpv4                                               | Total                     | 8
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 159
decoder.max_pkt_size                                         | Total                     | 1149
flow.total                                                   | Total                     | 9
flow.active                                                  | Total                     | 9
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 2
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
detect.alert                                                 | Total                     | 4
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 1
app_layer.tx.dns_udp                                         | Total                     | 4
app_layer.tx.ntp                                             | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 6
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9400
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 9
flow.mgr.flows_notimeout                                     | Total                     | 9
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:36:19 (uptime: 0d, 00h 01m 04s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 85
capture.afpacket.polls                                       | Total                     | 7517
capture.afpacket.poll_timeout                                | Total                     | 7459
capture.afpacket.poll_data                                   | Total                     | 58
decoder.pkts                                                 | Total                     | 85
decoder.bytes                                                | Total                     | 13754
decoder.ipv4                                                 | Total                     | 15
decoder.ipv6                                                 | Total                     | 68
decoder.ethernet                                             | Total                     | 85
decoder.arp                                                  | Total                     | 2
